Date,total_transaction_count,total_value_per_day,avg_value_per_transaction,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,avg_gas_used_per_transaction,total_transaction_fee,avg_transaction_fee_per_transaction,total_priority_fee,avg_priority_fee_per_transaction
2021-10-20,1956774,4331826359164522612118688,2213759156225768848.174949177,1013955782686,85293307283.469284,664042010180,339355.49541234708,159111613657102832,81313229661.21936,20703871706451706,10580614678.267242
2021-10-21,1904686,4749974767672498272675699,2493836132397937650.970133135,1131487025383,97350309086.175415,778809591071,408891.32963176083,176793130750936299,92820092524.928665,26519139425351444,13923103033.965412
2021-10-22,1934229,1749934299621300787328383,904719296226713996.806160491,962063666346,89124434481.67897,631592166522,326534.32790119475,163080726978159191,84313039964.84346,19529383440681562,10096727657.729029
2021-10-23,1959772,995697168874204283803727,508067861401328462.59857116,976400761986,69621688698.171371,685996820226,350039.09650000103,130606924646268500,66643938502.166832,17409672243989680,8883519227.7416344
2021-10-24,2018360,1592783995176867612865369,789147622414667161.886565826,908844111249,79004013928.570709,622480418857,308409.01467379456,146636300825364836,72651212283.916061,20065409782099819,9941442449.3647423
2021-10-25,2050539,1615486274287337705440651,787834942074906990.523297045,958005525596,102533250450.85716,616142341900,300478.23616132146,193647282976427614,94437259167.676208,23281762941798097,11353972268.656239
2021-10-26,2062519,1835610474932620449086815,889984758895612815.730092668,904177859044,128951463656.64771,600080200945,290945.29599242477,230366965913635984,111692045461.70773,27656495977780952,13409086644.913794
2021-10-27,2060563,3335906128966509157303811,1618929452274212997.760229122,975267901654,178160751135.1637,605746801439,293971.50266165123,298326107789877887,144778930704.80148,40586982448889702,19697035445.598946
2021-10-28,2068257,1735339180257968600481146,839034597856053962.578705644,1015910648276,197601172116.34863,658587938796,318426.54892307869,340597764495829289,164678647042.33047,44142713866467181,21342953930.032478
2021-10-29,2097279,2714348945796223638033900,1294224061651417688.363779926,867589402046,183816494417.53287,549182123573,261854.58566695228,320974671682223833,153043382250.15546,38678940333829596,18442439147.976784
2021-10-30,2150079,2708450638885772021615853,1259698196617785682.114867872,917678258316,171433134973.1138,598553606015,278386.7969572281,302412449486229679,140651785114.04916,40899233680810432,19022200431.151802
2021-10-31,2080107,1802507121347683080922349,866545385092056841.75013545,974994261744,157117310366.08826,658252600543,316451.317428863,275057772481275233,132232511347.38513,34065581800080952,16376841095.232578
2021-11-01,2037109,1629800931726437289293969,800055829966112411.900378919,960018445266,164268131473.47049,615851704424,302316.52033543616,288863964631906897,141800936833.47668,32042270628754679,15729286272.23908
2021-11-02,2062366,1760467460435453814495379,853615439953652171.581270735,851047002813,183874955956.02295,530682409423,257317.27997018959,318897192379252102,154626866608.18307,39388573170014694,19098730860.581825
2021-11-03,2125378,1761535553849934930797071,828810476936307297.241747586,831879997039,170368663906.63644,525687207739,247338.21830234435,303858226571173460,142966675373.12112,37154597454266659,17481406815.289635
2021-11-04,2093044,1437560942219562536132445,686827865166505117.012563998,1359724978883,152352600248.58762,952651645424,455151.27509216242,265137573400816738,126675585129.03539,36214758411431951,17302435310.214191
2021-11-05,2028319,3135100560873889956790522,1545664444731765544.172549781,906370305236,140895802842.40179,605683947594,298613.75237031258,251037256742764397,123766161408.91269,33145412882439783,16341321499.448452
2021-11-06,2009001,1201538840528660561910134,598077771254798062.275794786,951461728605,116977331945.64934,655396564219,326230.0836181764,208652845109163200,103859005102.11951,29370060691241897,14619236471.879255
2021-11-07,2164580,1619733102568470346887594,748289784885968800.823990797,1521766189830,103773091218.95717,1044843686561,482700.42528388876,203714154026262544,94112554872.660065,28102496112074148,12982886339.1855
2021-11-08,2074636,1491778886196986619005875,719055721676952785.455316017,1072018833542,131235822663.46812,735036523350,354296.62039509579,247334494337306415,119218260136.86565,32925503168617474,15870496399.666
2021-11-09,2097733,1552917171700394685119802,740283521163272296.865140607,997138505842,179941928340.97754,665004218520,317010.89629614446,338779512787275934,161497918365.81485,38468653290128832,18338202855.238884
2021-11-10,2082927,1877015134980726633497814,901143023726096321.905575183,857972738338,174565961451.54462,559215611498,268475.85705019906,329066263535962512,157982619427.3551,40138839184503465,19270401307.6327
2021-11-11,2109938,1526000226974495758354054,723244108108624878.244789183,1025782486501,169843217970.43588,685444360040,324864.69272556825,329470633726272934,156151808122.45334,48631127282722198,23048604879.727367
2021-11-12,2163959,2020592502136078258187366,933748052590681366.045921388,1032590540604,155153384128.78812,730261781876,337465.6275262147,302838015310356398,139946281473.15009,37017253210845601,17106263663.426895
